Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_14,J_15,J_16,J_17,J_18,Avg_last_5_games,Value
19,RC Celta de Vigo,Rubén Blanco,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,460000
19,RC Celta de Vigo,Néstor Araujo,DF,16,67,0,0,50,3.1,"['3', '3', '2', '4', '4']",3,3,2,4,4,3.2,1780000
19,RC Celta de Vigo,Jeison Murillo,DF,13,61,0,0,48,3.7,"['2', '3', '1', '-', '-']",2,3,1,0,0,1.2,2910000
19,RC Celta de Vigo,Hugo Mallo,DF,12,67,0,1,44,3.7,"['-', '-', '-', '-', '8']",0,0,0,0,8,1.6,2770000
19,RC Celta de Vigo,Aidoo,DF,12,56,0,0,37,3.1,"['7', '3', '5', '5', '2']",7,3,5,5,2,4.4,1290000
19,RC Celta de Vigo,Kevin Vázquez,DF,7,33,0,1,32,4.6,"['2', '7', '4', '8', '-']",2,7,4,8,0,4.2,1310000
19,RC Celta de Vigo,Carlos Domínguez,DF,2,6,0,0,7,3.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
19,RC Celta de Vigo,Denis Suárez,MD,18,78,2,1,91,5.1,"['5', '2', '5', '2', '15']",5,2,5,2,15,5.8,6180000
19,RC Celta de Vigo,Brais Méndez,MD,17,89,2,3,79,4.6,"['10', '1', '8', '2', '5']",10,1,8,2,5,5.2,5380000
19,RC Celta de Vigo,Fran Beltrán,MD,18,67,0,0,69,3.8,"['7', '6', '2', '2', '2']",7,6,2,2,2,3.8,3540000
19,RC Celta de Vigo,Franco Cervi,MD,17,33,1,1,55,3.2,"['4', '2', '2', '4', '2']",4,2,2,4,2,2.8,3170000
19,RC Celta de Vigo,Renato Tapia,MD,15,67,0,0,55,3.7,"['-', '2', '4', '8', '5']",0,2,4,8,5,3.8,3080000
19,RC Celta de Vigo,Augusto Solari,MD,12,11,0,0,25,2.1,"['-', '4', '1', '-', '-']",0,4,1,0,0,1.0,640000
19,RC Celta de Vigo,Okay Yokuslu,MD,6,0,0,0,17,2.8,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,400000
19,RC Celta de Vigo,Hugo Álvarez,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
19,RC Celta de Vigo,Miguel Baeza,MD,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
19,RC Celta de Vigo,Gabriel Veiga,MD,1,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,220000
19,RC Celta de Vigo,Alfonso González,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
19,RC Celta de Vigo,Iago Aspas,DL,17,89,8,2,125,7.4,"['5', '9', '8', '-', '15']",5,9,8,0,15,7.4,18960000
19,RC Celta de Vigo,Santi Mina,DL,17,94,6,3,102,6,"['3', '7', '3', '3', '12']",3,7,3,3,12,5.6,9520000
19,RC Celta de Vigo,Nolito,DL,18,61,1,0,50,2.8,"['3', '2', '3', '4', '2']",3,2,3,4,2,2.8,3680000
19,RC Celta de Vigo,Thiago Galhardo,DL,13,11,0,1,38,2.9,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,1320000
