Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_30,J_31,J_32,J_33,J_34,Avg_last_5_games,Value
8,Real Madrid CF,Courtois,PT,34,100,0,0,176,5.2,"['5', '0', '3', '2', '12']",5,0,3,2,12,4.4,6090000
8,Real Madrid CF,Lunin,PT,31,0,1,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,360000
8,Real Madrid CF,Éder Militão,DF,30,91,2,3,178,5.7,"['8', '4', '5', '6', '-']",8,4,5,6,0,4.6,6380000
8,Real Madrid CF,Alaba,DF,30,88,26,11,158,5.3,"['6', '2', '12', '-', '-']",6,2,12,0,0,4.0,6690000
8,Real Madrid CF,Lucas Vázquez,DF,32,50,14,9,124,4.8,"['15', '4', '13', '5', '4']",15,4,13,5,4,8.2,3840000
8,Real Madrid CF,Carvajal,DF,29,47,1,3,112,5.1,"['-', '11', '6', '-', '-']",0,11,6,0,0,3.4,4470000
8,Real Madrid CF,Nacho Fernández,DF,25,38,2,5,104,4.3,"['-', '11', '3', '7', '-']",0,11,3,7,0,4.2,2870000
8,Real Madrid CF,Ferland Mendy,DF,24,53,1,3,94,4.9,"['-', '-', '-', '5', '-']",0,0,0,5,0,1.0,4050000
8,Real Madrid CF,Marcelo,DF,19,15,1,1,53,4.8,"['8', '-', '-', '-', '9']",8,0,0,0,9,3.4,1900000
8,Real Madrid CF,Miguel Gutiérrez,DF,27,9,0,1,18,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,540000
8,Real Madrid CF,Jesús Vallejo,DF,26,3,3,0,9,4.5,"['-', '-', '-', '-', '7']",0,0,0,0,7,1.4,630000
8,Real Madrid CF,Sergio Santos,DF,29,0,10,0,0,0,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,280000
8,Real Madrid CF,Mario Gila,DF,22,0,1,3,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
8,Real Madrid CF,Casemiro,MD,24,82,3,0,195,6.7,"['11', '-', '-', '-', '5']",11,0,0,0,5,3.2,12510000
8,Real Madrid CF,Kroos,MD,28,65,3,3,175,7.3,"['-', '7', '4', '10', '2']",0,7,4,10,2,4.6,12670000
8,Real Madrid CF,Modric,MD,22,68,2,1,141,5.6,"['-', '3', '-', '-', '7']",0,3,0,0,7,2.0,10190000
8,Real Madrid CF,Fede Valverde,MD,17,50,0,1,110,4.1,"['6', '5', '4', '7', '-']",6,5,4,7,0,4.4,7390000
8,Real Madrid CF,Camavinga,MD,10,32,0,2,108,4.7,"['5', '2', '9', '10', '10']",5,2,9,10,10,7.2,6380000
8,Real Madrid CF,Isco,MD,5,9,1,0,53,4.1,"['-', '-', '6', '-', '4']",0,0,6,0,4,2.0,1360000
8,Real Madrid CF,Dani Ceballos,MD,3,6,0,1,27,3,"['4', '-', '4', '-', '7']",4,0,4,0,7,3.0,3090000
8,Real Madrid CF,Antonio Blanco,MD,12,0,1,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
8,Real Madrid CF,Sergio Arribas,MD,7,0,0,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
8,Real Madrid CF,Benzema,DL,9,85,0,0,312,10.4,"['6', '12', '2', '17', '10']",6,12,2,17,10,9.4,19730000
8,Real Madrid CF,Vinícius Júnior,DL,2,82,0,0,237,7.4,"['11', '1', '-', '3', '5']",11,1,0,3,5,4.0,17960000
8,Real Madrid CF,Asensio,DL,13,50,1,2,161,5.6,"['3', '3', '11', '-', '8']",3,3,11,0,8,5.0,8970000
8,Real Madrid CF,Rodrygo,DL,1,38,0,0,114,3.9,"['8', '14', '7', '-', '16']",8,14,7,0,16,9.0,6980000
8,Real Madrid CF,Eden Hazard,DL,1,21,0,0,72,4.2,"['-', '-', '-', '7', '-']",0,0,0,7,0,1.4,2190000
8,Real Madrid CF,Jovic,DL,2,0,0,0,38,2.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,710000
8,Real Madrid CF,Mariano Díaz,DL,1,6,0,0,21,3,"['-', '-', '-', '5', '-1']",0,0,0,5,-1,0.8,920000
8,Real Madrid CF,Bale,DL,0,12,0,0,20,4,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8,1880000
8,Real Madrid CF,Peter González,DL,0,0,0,0,4,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,510000
8,Real Madrid CF,Marvin,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
